Date/Time,ID,Description,Status
08.07.2025 16:26:01,PS,Power supply panel,Panel okay
08.07.2025 16:26:01,PS-T,Power supply track circuits,Okay
08.07.2025 16:26:01,PS-P,Power supply points,Okay
08.07.2025 16:26:01,PS-S,Power supply signals,Okay
08.07.2025 16:26:01,EL,Earth leakage,Earth leakage detected
08.07.2025 16:26:01,MSA,Main supply A available,Mains A available
08.07.2025 16:26:01,MSB,Main supply B available,Mains B available
08.07.2025 16:26:01,MSA-F,Main supply A feeding,Mains A not feeding
08.07.2025 16:26:01,LOAD,Load on inverter / bypass,Load on inverter
08.07.2025 16:26:01,BATT,Battery,Battery okay
08.07.2025 16:26:01,BAT-U,Battery undervoltage,Battery Voltage okay
08.07.2025 16:26:01,BAT-O,Battery operation,Battery not in operation
08.07.2025 16:26:01,BYP,Bypass operation (single point operation),Bypass not in Operation
08.07.2025 16:26:01,M-BYP,Manual bypass,Manual Bypass not active
08.07.2025 16:26:01,FAN,Fan,Okay
08.07.2025 16:26:01,UPS,UPS,UPS is okay
08.07.2025 16:26:01,TEMP,Overtemperature alarm,Temperature okay
08.07.2025 16:26:02,PS,Power supply panel,Panel okay
08.07.2025 16:26:02,PS-T,Power supply track circuits,Okay
08.07.2025 16:26:02,PS-P,Power supply points,Okay
08.07.2025 16:26:02,PS-S,Power supply signals,Okay
08.07.2025 16:26:02,EL,Earth leakage,Earth leakage detected
08.07.2025 16:26:02,MSA,Main supply A available,Mains A available
08.07.2025 16:26:02,MSB,Main supply B available,Mains B available
08.07.2025 16:26:02,MSA-F,Main supply A feeding,Mains A not feeding
08.07.2025 16:26:02,LOAD,Load on inverter / bypass,Load on inverter
08.07.2025 16:26:02,BATT,Battery,Battery okay
08.07.2025 16:26:02,BAT-U,Battery undervoltage,Battery Voltage okay
08.07.2025 16:26:02,BAT-O,Battery operation,Battery not in operation
08.07.2025 16:26:02,BYP,Bypass operation (single point operation),Bypass not in Operation
08.07.2025 16:26:02,M-BYP,Manual bypass,Manual Bypass not active
08.07.2025 16:26:02,FAN,Fan,Okay
08.07.2025 16:26:02,UPS,UPS,UPS is okay
08.07.2025 16:26:02,TEMP,Overtemperature alarm,Temperature okay
08.07.2025 16:26:03,PS,Power supply panel,Panel okay
08.07.2025 16:26:03,PS-T,Power supply track circuits,Okay
08.07.2025 16:26:03,PS-P,Power supply points,Okay
08.07.2025 16:26:03,PS-S,Power supply signals,Okay
08.07.2025 16:26:03,EL,Earth leakage,Earth leakage detected
08.07.2025 16:26:03,MSA,Main supply A available,Mains A available
08.07.2025 16:26:03,MSB,Main supply B available,Mains B available
08.07.2025 16:26:03,MSA-F,Main supply A feeding,Mains A not feeding
08.07.2025 16:26:03,LOAD,Load on inverter / bypass,Load on inverter
08.07.2025 16:26:03,BATT,Battery,Battery okay
08.07.2025 16:26:03,BAT-U,Battery undervoltage,Battery Voltage okay
08.07.2025 16:26:03,BAT-O,Battery operation,Battery not in operation
08.07.2025 16:26:03,BYP,Bypass operation (single point operation),Bypass not in Operation
08.07.2025 16:26:03,M-BYP,Manual bypass,Manual Bypass not active
08.07.2025 16:26:03,FAN,Fan,Okay
08.07.2025 16:26:03,UPS,UPS,UPS is okay
08.07.2025 16:26:03,TEMP,Overtemperature alarm,Temperature okay
08.07.2025 16:26:04,PS,Power supply panel,Panel okay
08.07.2025 16:26:04,PS-T,Power supply track circuits,Okay
08.07.2025 16:26:04,PS-P,Power supply points,Okay
08.07.2025 16:26:04,PS-S,Power supply signals,Okay
08.07.2025 16:26:04,EL,Earth leakage,Earth leakage detected
08.07.2025 16:26:04,MSA,Main supply A available,Mains A available
08.07.2025 16:26:04,MSB,Main supply B available,Mains B available
08.07.2025 16:26:04,MSA-F,Main supply A feeding,Mains A not feeding
08.07.2025 16:26:04,LOAD,Load on inverter / bypass,Load on inverter
08.07.2025 16:26:04,BATT,Battery,Battery okay
08.07.2025 16:26:04,BAT-U,Battery undervoltage,Battery Voltage okay
08.07.2025 16:26:04,BAT-O,Battery operation,Battery not in operation
